,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.000000,0.055600,0.000000,0.027800,0.055600,0.027800,0.000000,0.083300,0.000000,0.000000,0.000000,0.000000,0.000000,0.416700,0.222200,0.111100,0.083300,0.055600,0.027800,0.111100,0.111100,0.138900,0.027800,0.000000,0.000000,0.083300,0.111100,0.027800,0.027800,0.000000,0.000000,0.055600,0.000000,0.000000,0.000000,0.083300,0.000000,0.027800,0.055600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/add_sub_2op_verbal,0.055600,1.000000,0.055600,0.305600,0.083300,0.027800,0.000000,0.083300,0.000000,0.000000,0.000000,0.000000,0.055600,0.055600,0.083300,0.055600,0.166700,0.000000,0.000000,0.000000,0.000000,0.083300,0.027800,0.000000,0.000000,0.055600,0.027800,0.111100,0.055600,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.027800,0.000000,0.027800,0.000000,0.000000,0.000000,0.000000,0.027800,0.000000,0.055600,0.000000
MD/add_sub_3op_symbolic,0.000000,0.055600,1.000000,0.055600,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166700,0.083300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/add_sub_3op_verbal,0.027800,0.305600,0.055600,1.000000,0.027800,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027800,0.027800,0.083300,0.055600,0.222200,0.000000,0.027800,0.000000,0.027800,0.083300,0.000000,0.000000,0.000000,0.000000,0.027800,0.083300,0.027800,0.083300,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/code_A,0.055600,0.083300,0.027800,0.027800,1.000000,0.083300,0.000000,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.055600,0.055600,0.055600,0.083300,0.000000,0.000000,0.027800,0.027800,0.027800,0.000000,0.000000,0.000000,0.111100,0.055600,0.055600,0.083300,0.000000,0.000000,0.027800,0.000000,0.000000,0.000000,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/code_B,0.027800,0.027800,0.000000,0.027800,0.083300,1.000000,0.000000,0.194400,0.000000,0.000000,0.000000,0.027800,0.027800,0.027800,0.000000,0.000000,0.055600,0.027800,0.027800,0.000000,0.027800,0.027800,0.000000,0.000000,0.000000,0.055600,0.027800,0.000000,0.027800,0.027800,0.027800,0.055600,0.000000,0.000000,0.000000,0.055600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/code_conditional,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/code_list,0.083300,0.083300,0.000000,0.000000,0.027800,0.194400,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.027800,0.083300,0.083300,0.000000,0.027800,0.027800,0.027800,0.027800,0.000000,0.083300,0.000000,0.000000,0.000000,0.027800,0.027800,0.000000,0.055600,0.000000,0.027800,0.000000,0.000000,0.000000,0.000000,0.027800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027800,0.000000
MD/code_loop,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/logic_propositional_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
